modelo,harness,tarea,stack,tipo,build_ok_auto,test_ok_auto,fair_status,fair_included,automatic_source,fair_notes,archivo_respuesta,eje1_correctitud,eje2_calidad,eje3_seguridad,eje4_instrucciones,eje5_esfuerzo,comentarios
Modelo A,raw_api,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__raw_api__data-bug1-sales-genre.txt,,,,,,
Modelo B,raw_api,data-bug1-sales-genre,Datos,Bug-fix,True,True,posthoc_rescore_pass,True,results/full_combined_v3/metrics_fair.csv,rescored locally from saved transcript; workdir=results/full_combined_v3/_rescore_workdirs/raw_api__data-bug1-sales-genre__minimax_minimax-m3__r1,human_review/respuestas_ciegas/datos/Modelo_B__raw_api__data-bug1-sales-genre.txt,,,,,,
Modelo C,raw_api,data-bug1-sales-genre,Datos,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_C__raw_api__data-bug1-sales-genre.txt,,,,,,
Modelo A,hermes,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__hermes__data-feat1-customer-ranking.txt,,,,,,
Modelo B,hermes,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_B__hermes__data-feat1-customer-ranking.txt,,,,,,
Modelo C,hermes,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_C__hermes__data-feat1-customer-ranking.txt,,,,,,
Modelo A,omp,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__omp__data-feat1-customer-ranking.txt,,,,,,
Modelo B,omp,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_B__omp__data-feat1-customer-ranking.txt,,,,,,
Modelo C,omp,data-feat1-customer-ranking,Datos,Feature,True,False,task.semantic_failure,True,results/full_combined_v3/metrics_fair.csv,verifier assertion failed,human_review/respuestas_ciegas/datos/Modelo_C__omp__data-feat1-customer-ranking.txt,,,,,,
Modelo A,opencode,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__opencode__data-feat1-customer-ranking.txt,,,,,,
Modelo B,opencode,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_B__opencode__data-feat1-customer-ranking.txt,,,,,,
Modelo C,opencode,data-feat1-customer-ranking,Datos,Feature,True,False,task.semantic_failure,True,results/full_combined_v3/metrics_fair.csv,verifier assertion failed,human_review/respuestas_ciegas/datos/Modelo_C__opencode__data-feat1-customer-ranking.txt,,,,,,
Modelo A,raw_api,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_A__raw_api__data-feat1-customer-ranking.txt,,,,,,
Modelo B,raw_api,data-feat1-customer-ranking,Datos,Feature,True,True,posthoc_rescore_pass,True,results/full_combined_v3/metrics_fair.csv,rescored locally from saved transcript; workdir=results/full_combined_v3/_rescore_workdirs/raw_api__data-feat1-customer-ranking__minimax_minimax-m3__r1,human_review/respuestas_ciegas/datos/Modelo_B__raw_api__data-feat1-customer-ranking.txt,,,,,,
Modelo C,raw_api,data-feat1-customer-ranking,Datos,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/datos/Modelo_C__raw_api__data-feat1-customer-ranking.txt,,,,,,
Modelo A,hermes,ng-bug1-missing-input,Angular,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/angular/Modelo_A__hermes__ng-bug1-missing-input.txt,,,,,,
Modelo A,opencode,ng-feat2-service-search,Angular,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/angular/Modelo_A__opencode__ng-feat2-service-search.txt,,,,,,
Modelo A,hermes,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__hermes__re-bug1-favorite-count.txt,,,,,,
Modelo B,hermes,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__hermes__re-bug1-favorite-count.txt,,,,,,
Modelo C,hermes,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__hermes__re-bug1-favorite-count.txt,,,,,,
Modelo A,omp,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__omp__re-bug1-favorite-count.txt,,,,,,
Modelo B,omp,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__omp__re-bug1-favorite-count.txt,,,,,,
Modelo C,omp,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__omp__re-bug1-favorite-count.txt,,,,,,
Modelo A,opencode,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__opencode__re-bug1-favorite-count.txt,,,,,,
Modelo B,opencode,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__opencode__re-bug1-favorite-count.txt,,,,,,
Modelo C,opencode,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__opencode__re-bug1-favorite-count.txt,,,,,,
Modelo A,raw_api,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__raw_api__re-bug1-favorite-count.txt,,,,,,
Modelo B,raw_api,re-bug1-favorite-count,React,Bug-fix,True,True,posthoc_rescore_pass,True,results/full_combined_v3/metrics_fair.csv,rescored locally from saved transcript; workdir=results/full_combined_v3/_rescore_workdirs/raw_api__re-bug1-favorite-count__minimax_minimax-m3__r1,human_review/respuestas_ciegas/react/Modelo_B__raw_api__re-bug1-favorite-count.txt,,,,,,
Modelo C,raw_api,re-bug1-favorite-count,React,Bug-fix,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__raw_api__re-bug1-favorite-count.txt,,,,,,
Modelo A,hermes,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__hermes__re-feat1-reading-time.txt,,,,,,
Modelo B,hermes,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__hermes__re-feat1-reading-time.txt,,,,,,
Modelo C,hermes,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__hermes__re-feat1-reading-time.txt,,,,,,
Modelo A,omp,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__omp__re-feat1-reading-time.txt,,,,,,
Modelo B,omp,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__omp__re-feat1-reading-time.txt,,,,,,
Modelo C,omp,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__omp__re-feat1-reading-time.txt,,,,,,
Modelo A,opencode,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__opencode__re-feat1-reading-time.txt,,,,,,
Modelo B,opencode,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__opencode__re-feat1-reading-time.txt,,,,,,
Modelo C,opencode,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__opencode__re-feat1-reading-time.txt,,,,,,
Modelo A,raw_api,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__raw_api__re-feat1-reading-time.txt,,,,,,
Modelo B,raw_api,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__raw_api__re-feat1-reading-time.txt,,,,,,
Modelo C,raw_api,re-feat1-reading-time,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__raw_api__re-feat1-reading-time.txt,,,,,,
Modelo A,hermes,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__hermes__re-feat2-author-filter.txt,,,,,,
Modelo B,hermes,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__hermes__re-feat2-author-filter.txt,,,,,,
Modelo C,hermes,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__hermes__re-feat2-author-filter.txt,,,,,,
Modelo A,omp,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__omp__re-feat2-author-filter.txt,,,,,,
Modelo B,omp,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__omp__re-feat2-author-filter.txt,,,,,,
Modelo C,omp,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__omp__re-feat2-author-filter.txt,,,,,,
Modelo A,opencode,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__opencode__re-feat2-author-filter.txt,,,,,,
Modelo B,opencode,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_B__opencode__re-feat2-author-filter.txt,,,,,,
Modelo C,opencode,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__opencode__re-feat2-author-filter.txt,,,,,,
Modelo A,raw_api,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_A__raw_api__re-feat2-author-filter.txt,,,,,,
Modelo B,raw_api,re-feat2-author-filter,React,Feature,False,False,posthoc_rescore_fail,True,results/full_combined_v3/metrics_fair.csv,rescored locally from saved transcript; workdir=results/full_combined_v3/_rescore_workdirs/raw_api__re-feat2-author-filter__minimax_minimax-m3__r1,human_review/respuestas_ciegas/react/Modelo_B__raw_api__re-feat2-author-filter.txt,,,,,,
Modelo C,raw_api,re-feat2-author-filter,React,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/react/Modelo_C__raw_api__re-feat2-author-filter.txt,,,,,,
Modelo A,hermes,sb-feat1-name-length,Spring Boot,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__hermes__sb-feat1-name-length.txt,,,,,,
Modelo C,hermes,sb-feat1-name-length,Spring Boot,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__hermes__sb-feat1-name-length.txt,,,,,,
Modelo A,omp,sb-feat1-name-length,Spring Boot,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_A__omp__sb-feat1-name-length.txt,,,,,,
Modelo B,omp,sb-feat1-name-length,Spring Boot,Feature,False,False,task_or_harness_failure,True,results/full_combined_v3/metrics_fair.csv,unclassified failure; inspect artifacts,human_review/respuestas_ciegas/springboot/Modelo_B__omp__sb-feat1-name-length.txt,,,,,,
Modelo C,omp,sb-feat1-name-length,Spring Boot,Feature,True,True,pass,True,results/full_combined_v3/metrics_fair.csv,original pass,human_review/respuestas_ciegas/springboot/Modelo_C__omp__sb-feat1-name-length.txt,,,,,,
Modelo A,opencode,sb-feat1-name-length,Spring Boot,Feature,False,False,task_or_harness_failure,True,results/full_combined_v3/metrics_fair.csv,unclassified failure; inspect artifacts,human_review/respuestas_ciegas/springboot/Modelo_A__opencode__sb-feat1-name-length.txt,,,,,,
Modelo B,opencode,sb-feat1-name-length,Spring Boot,Feature,False,False,task_or_harness_failure,True,results/full_combined_v3/metrics_fair.csv,unclassified failure; inspect artifacts,human_review/respuestas_ciegas/springboot/Modelo_B__opencode__sb-feat1-name-length.txt,,,,,,
Modelo C,opencode,sb-feat1-name-length,Spring Boot,Feature,False,False,task_or_harness_failure,True,results/full_combined_v3/metrics_fair.csv,unclassified failure; inspect artifacts,human_review/respuestas_ciegas/springboot/Modelo_C__opencode__sb-feat1-name-length.txt,,,,,,
