harness,task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
opencode,bug2-ownercontroller,Modelo K,2,True,True,29117,692,0.004725,6,opencode: 6 usage record(s); cost_from_cli,42.8,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug2-ownercontroller__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug2-ownercontroller__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,bug2-ownercontroller,Modelo K,3,True,True,27265,576,0.004337,5,opencode: 5 usage record(s); cost_from_cli,21.0,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug2-ownercontroller__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__bug2-ownercontroller__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,data-bug1-sales-genre,Modelo K,1,True,True,25341,492,0.003975,4,opencode: 4 usage record(s); cost_from_cli,13.4,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-bug1-sales-genre__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-bug1-sales-genre__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,data-bug1-sales-genre,Modelo K,2,True,True,25578,499,0.003984,4,opencode: 4 usage record(s); cost_from_cli,13.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-bug1-sales-genre__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-bug1-sales-genre__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,data-bug1-sales-genre,Modelo K,3,True,True,25288,438,0.003944,4,opencode: 4 usage record(s); cost_from_cli,13.4,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-bug1-sales-genre__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-bug1-sales-genre__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,data-feat1-customer-ranking,Modelo K,1,True,True,25341,645,0.004019,4,opencode: 4 usage record(s); cost_from_cli,14.9,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-feat1-customer-ranking__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-feat1-customer-ranking__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,data-feat1-customer-ranking,Modelo K,2,True,True,27053,1155,0.004629,7,opencode: 7 usage record(s); cost_from_cli,23.1,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-feat1-customer-ranking__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-feat1-customer-ranking__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,data-feat1-customer-ranking,Modelo K,3,True,True,25347,702,0.004155,4,opencode: 4 usage record(s); cost_from_cli,19.0,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-feat1-customer-ranking__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__data-feat1-customer-ranking__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,ng-bug1-missing-input,Modelo K,1,False,False,27671,1197,0.004911,9,opencode: 9 usage record(s); cost_from_cli,41.6,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-bug1-missing-input__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-bug1-missing-input__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,ng-bug1-missing-input,Modelo K,2,False,False,28474,1774,0.005573,13,opencode: 13 usage record(s); cost_from_cli,51.3,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-bug1-missing-input__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-bug1-missing-input__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,ng-bug1-missing-input,Modelo K,3,False,False,26921,1150,0.004706,8,opencode: 8 usage record(s); cost_from_cli,26.0,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-bug1-missing-input__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-bug1-missing-input__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,ng-feat1-reading-time,Modelo K,1,False,False,29161,2340,0.006464,19,opencode: 19 usage record(s); cost_from_cli,80.4,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat1-reading-time__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat1-reading-time__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,ng-feat1-reading-time,Modelo K,2,False,False,29352,2700,0.006544,19,opencode: 19 usage record(s); cost_from_cli,78.4,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat1-reading-time__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat1-reading-time__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,ng-feat1-reading-time,Modelo K,3,False,False,29625,2237,0.006362,17,opencode: 17 usage record(s); cost_from_cli,56.2,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat1-reading-time__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat1-reading-time__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,ng-feat2-service-search,Modelo K,1,False,False,27889,1825,0.005374,11,opencode: 11 usage record(s); cost_from_cli,44.2,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat2-service-search__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat2-service-search__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,ng-feat2-service-search,Modelo K,2,False,False,28337,1839,0.005464,11,opencode: 11 usage record(s); cost_from_cli,39.1,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat2-service-search__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat2-service-search__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,ng-feat2-service-search,Modelo K,3,False,False,35705,2971,0.007582,18,opencode: 18 usage record(s); cost_from_cli,87.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat2-service-search__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__ng-feat2-service-search__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,re-bug1-favorite-count,Modelo K,1,True,True,26995,698,0.004341,5,opencode: 5 usage record(s); cost_from_cli,18.9,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-bug1-favorite-count__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-bug1-favorite-count__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,re-bug1-favorite-count,Modelo K,2,True,True,26892,528,0.004218,4,opencode: 4 usage record(s); cost_from_cli,18.4,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-bug1-favorite-count__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-bug1-favorite-count__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,re-bug1-favorite-count,Modelo K,3,True,True,26061,691,0.004299,6,opencode: 6 usage record(s); cost_from_cli,23.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-bug1-favorite-count__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-bug1-favorite-count__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,re-feat1-reading-time,Modelo K,1,True,True,26387,762,0.004411,7,opencode: 7 usage record(s); cost_from_cli,25.1,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat1-reading-time__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat1-reading-time__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,re-feat1-reading-time,Modelo K,2,True,True,26106,882,0.004389,7,opencode: 7 usage record(s); cost_from_cli,23.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat1-reading-time__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat1-reading-time__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,re-feat1-reading-time,Modelo K,3,True,True,26263,720,0.004249,5,opencode: 5 usage record(s); cost_from_cli,19.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat1-reading-time__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat1-reading-time__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,re-feat2-author-filter,Modelo K,1,True,True,28602,1367,0.005146,9,opencode: 9 usage record(s); cost_from_cli,32.1,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat2-author-filter__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat2-author-filter__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,re-feat2-author-filter,Modelo K,2,True,True,27413,1338,0.004809,8,opencode: 8 usage record(s); cost_from_cli,28.5,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat2-author-filter__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat2-author-filter__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,re-feat2-author-filter,Modelo K,3,True,True,28905,1955,0.005256,9,opencode: 9 usage record(s); cost_from_cli,32.6,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat2-author-filter__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__re-feat2-author-filter__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
opencode,sb-feat1-name-length,Modelo K,1,False,False,27036,1024,0.004793,7,opencode: 7 usage record(s); cost_from_cli,37.2,/Users/mihai/code/nter/model-benchmarking/results/opencode__sb-feat1-name-length__opencode-go_deepseek-v4-flash__r1,/Users/mihai/code/nter/model-benchmarking/results/opencode__sb-feat1-name-length__opencode-go_deepseek-v4-flash__r1/_raw_response.txt,
opencode,sb-feat1-name-length,Modelo K,2,False,False,26990,1078,0.004663,7,opencode: 7 usage record(s); cost_from_cli,33.1,/Users/mihai/code/nter/model-benchmarking/results/opencode__sb-feat1-name-length__opencode-go_deepseek-v4-flash__r2,/Users/mihai/code/nter/model-benchmarking/results/opencode__sb-feat1-name-length__opencode-go_deepseek-v4-flash__r2/_raw_response.txt,
opencode,sb-feat1-name-length,Modelo K,3,False,False,26965,872,0.004484,6,opencode: 6 usage record(s); cost_from_cli,29.7,/Users/mihai/code/nter/model-benchmarking/results/opencode__sb-feat1-name-length__opencode-go_deepseek-v4-flash__r3,/Users/mihai/code/nter/model-benchmarking/results/opencode__sb-feat1-name-length__opencode-go_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo I,1,True,True,555,555,0.0001,1,legacy raw_api row; one OpenRouter request,6.2,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r1,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo I,2,True,True,555,630,0.0002,1,legacy raw_api row; one OpenRouter request,6.8,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r2,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo I,3,True,True,555,669,0.0002,1,legacy raw_api row; one OpenRouter request,7.3,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r3,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo G,1,True,True,555,448,0.0006,1,legacy raw_api row; one OpenRouter request,8.7,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r1,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo G,2,True,True,555,444,0.0006,1,legacy raw_api row; one OpenRouter request,10.4,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r2,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo G,3,True,False,555,444,0.0006,1,legacy raw_api row; one OpenRouter request,12.1,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r3,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo A,1,True,True,572,486,0.0009,1,legacy raw_api row; one OpenRouter request,2.2,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r1,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo A,2,True,True,571,486,0.0009,1,legacy raw_api row; one OpenRouter request,3.0,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r2,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo A,3,True,True,572,486,0.0009,1,legacy raw_api row; one OpenRouter request,2.4,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r3,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo C,1,True,False,552,832,0.001,1,legacy raw_api row; one OpenRouter request,12.3,results\bug1-petvalidator__minimax_minimax-m2.7__r1,results\bug1-petvalidator__minimax_minimax-m2.7__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo C,2,False,False,555,815,0.001,1,legacy raw_api row; one OpenRouter request,14.9,results\bug1-petvalidator__minimax_minimax-m2.7__r2,results\bug1-petvalidator__minimax_minimax-m2.7__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo C,3,True,False,551,3920,0.0041,1,legacy raw_api row; one OpenRouter request,19.8,results\bug1-petvalidator__minimax_minimax-m2.7__r3,results\bug1-petvalidator__minimax_minimax-m2.7__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo E,1,True,True,690,728,0.0011,1,legacy raw_api row; one OpenRouter request,23.0,results\bug1-petvalidator__minimax_minimax-m3__r1,results\bug1-petvalidator__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo E,2,True,True,690,635,0.001,1,legacy raw_api row; one OpenRouter request,12.7,results\bug1-petvalidator__minimax_minimax-m3__r2,results\bug1-petvalidator__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo E,3,True,True,690,517,0.0008,1,legacy raw_api row; one OpenRouter request,9.0,results\bug1-petvalidator__minimax_minimax-m3__r3,results\bug1-petvalidator__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo J,1,True,False,529,422,0.0009,1,legacy raw_api row; one OpenRouter request,11.2,results\bug1-petvalidator__qwen_qwen3-coder__r1,results\bug1-petvalidator__qwen_qwen3-coder__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo J,2,False,False,529,429,0.0009,1,legacy raw_api row; one OpenRouter request,5.9,results\bug1-petvalidator__qwen_qwen3-coder__r2,results\bug1-petvalidator__qwen_qwen3-coder__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo J,3,True,True,529,429,0.0009,1,legacy raw_api row; one OpenRouter request,5.0,results\bug1-petvalidator__qwen_qwen3-coder__r3,results\bug1-petvalidator__qwen_qwen3-coder__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo L,1,True,True,529,433,0.0004,1,legacy raw_api row; one OpenRouter request,3.1,results\bug1-petvalidator__qwen_qwen3-coder-next__r1,results\bug1-petvalidator__qwen_qwen3-coder-next__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo L,2,True,True,529,433,0.0004,1,legacy raw_api row; one OpenRouter request,24.6,results\bug1-petvalidator__qwen_qwen3-coder-next__r2,results\bug1-petvalidator__qwen_qwen3-coder-next__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo L,3,True,True,529,433,0.0004,1,legacy raw_api row; one OpenRouter request,2.8,results\bug1-petvalidator__qwen_qwen3-coder-next__r3,results\bug1-petvalidator__qwen_qwen3-coder-next__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo H,1,True,True,563,1847,0.0025,1,legacy raw_api row; one OpenRouter request,35.4,results\bug1-petvalidator__qwen_qwen3.7-plus__r1,results\bug1-petvalidator__qwen_qwen3.7-plus__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo H,2,True,True,563,1997,0.0027,1,legacy raw_api row; one OpenRouter request,37.7,results\bug1-petvalidator__qwen_qwen3.7-plus__r2,results\bug1-petvalidator__qwen_qwen3.7-plus__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo H,3,True,True,563,1855,0.0026,1,legacy raw_api row; one OpenRouter request,50.9,results\bug1-petvalidator__qwen_qwen3.7-plus__r3,results\bug1-petvalidator__qwen_qwen3.7-plus__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo M,1,True,True,567,1181,0.0003,1,legacy raw_api row; one OpenRouter request,8.8,results\bug1-petvalidator__tencent_hy3-preview__r1,results\bug1-petvalidator__tencent_hy3-preview__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo M,2,True,True,567,879,0.0003,1,legacy raw_api row; one OpenRouter request,6.8,results\bug1-petvalidator__tencent_hy3-preview__r2,results\bug1-petvalidator__tencent_hy3-preview__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo M,3,True,True,567,911,0.0003,1,legacy raw_api row; one OpenRouter request,7.3,results\bug1-petvalidator__tencent_hy3-preview__r3,results\bug1-petvalidator__tencent_hy3-preview__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo B,1,True,True,519,1419,0.0027,1,legacy raw_api row; one OpenRouter request,29.5,results\bug1-petvalidator__z-ai_glm-4.7__r1,results\bug1-petvalidator__z-ai_glm-4.7__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo B,2,True,True,519,1074,0.0021,1,legacy raw_api row; one OpenRouter request,21.4,results\bug1-petvalidator__z-ai_glm-4.7__r2,results\bug1-petvalidator__z-ai_glm-4.7__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo B,3,True,True,519,1428,0.0027,1,legacy raw_api row; one OpenRouter request,26.5,results\bug1-petvalidator__z-ai_glm-4.7__r3,results\bug1-petvalidator__z-ai_glm-4.7__r3/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo N,1,True,False,526,837,0.0039,1,legacy raw_api row; one OpenRouter request,8.5,results\bug1-petvalidator__z-ai_glm-5.2__r1,results\bug1-petvalidator__z-ai_glm-5.2__r1/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo N,2,True,False,526,792,0.0037,1,legacy raw_api row; one OpenRouter request,10.8,results\bug1-petvalidator__z-ai_glm-5.2__r2,results\bug1-petvalidator__z-ai_glm-5.2__r2/_raw_response.txt,
raw_api,bug1-petvalidator,Modelo N,3,True,False,526,1115,0.005,1,legacy raw_api row; one OpenRouter request,15.4,results\bug1-petvalidator__z-ai_glm-5.2__r3,results\bug1-petvalidator__z-ai_glm-5.2__r3/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo I,1,True,True,1614,1673,0.0004,1,legacy raw_api row; one OpenRouter request,12.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r1,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo I,2,True,True,1614,1848,0.0005,1,legacy raw_api row; one OpenRouter request,22.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r2,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo I,3,True,True,1614,1824,0.0005,1,legacy raw_api row; one OpenRouter request,9.1,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r3,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo G,1,True,False,1614,1508,0.002,1,legacy raw_api row; one OpenRouter request,15.0,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r1,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r1/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo G,2,True,False,1614,1508,0.002,1,legacy raw_api row; one OpenRouter request,14.7,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r2,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r2/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo G,3,True,False,1614,1508,0.002,1,legacy raw_api row; one OpenRouter request,29.0,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r3,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r3/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo A,1,True,True,1751,1662,0.0029,1,legacy raw_api row; one OpenRouter request,6.2,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r1,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r1/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo A,2,True,True,1751,1662,0.0029,1,legacy raw_api row; one OpenRouter request,9.2,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r2,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r2/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo A,3,True,True,1752,1662,0.0029,1,legacy raw_api row; one OpenRouter request,4.9,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r3,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r3/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo C,1,False,False,1592,2108,0.0025,1,legacy raw_api row; one OpenRouter request,24.0,results\bug2-ownercontroller__minimax_minimax-m2.7__r1,results\bug2-ownercontroller__minimax_minimax-m2.7__r1/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo C,2,True,False,1591,1844,0.0022,1,legacy raw_api row; one OpenRouter request,6.3,results\bug2-ownercontroller__minimax_minimax-m2.7__r2,results\bug2-ownercontroller__minimax_minimax-m2.7__r2/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo C,3,False,False,1591,1878,0.0023,1,legacy raw_api row; one OpenRouter request,7.1,results\bug2-ownercontroller__minimax_minimax-m2.7__r3,results\bug2-ownercontroller__minimax_minimax-m2.7__r3/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo E,1,True,True,1681,3435,0.0046,1,legacy raw_api row; one OpenRouter request,45.1,results\bug2-ownercontroller__minimax_minimax-m3__r1,results\bug2-ownercontroller__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo E,2,True,True,1730,1517,0.0023,1,legacy raw_api row; one OpenRouter request,18.8,results\bug2-ownercontroller__minimax_minimax-m3__r2,results\bug2-ownercontroller__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo E,3,True,True,1730,1757,0.0026,1,legacy raw_api row; one OpenRouter request,15.5,results\bug2-ownercontroller__minimax_minimax-m3__r3,results\bug2-ownercontroller__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo J,1,True,True,1474,1361,0.0028,1,legacy raw_api row; one OpenRouter request,15.2,results\bug2-ownercontroller__qwen_qwen3-coder__r1,results\bug2-ownercontroller__qwen_qwen3-coder__r1/_raw_response.txt,
raw_api,bug2-ownercontroller,Modelo J,2,True,False,1474,1362,0.0028,1,legacy raw_api row; one OpenRouter request,11.9,results\bug2-ownercontroller__qwen_qwen3-coder__r2,results\bug2-ownercontroller__qwen_qwen3-coder__r2/_raw_response.txt,
